id,text,label
345,A coworker spreads rumors about me and pressures others not to collaborate with me.,workplace
81,He keeps making sexual comments about my body on the bus even after I clearly said no. Witnesses were present during the incident.,sexual
473,My manager reminded everyone about deadlines in a neutral tone. We resolved it calmly.,non-harassment
122,They keep making sexual comments about my body at the gym even after I clearly said no. I am worried it will happen again.,sexual
203,They wait outside my building every evening and follow me to the metro. I saved screenshots and call logs.,stalking
455,My teammate gave constructive feedback on my report and helped me improve it. Everyone remained respectful.,non-harassment
298,She threatened to kidnap my sibling if I block her again. I reported this once but it continued.,threat
124,They keep asking detailed sexual questions and ignore my boundaries. I saved screenshots and call logs.,sexual
260,They threatened to kidnap my sibling if I block them again. I have asked multiple times for this to stop.,threat
165,He posts humiliating comments under all my posts and tags my friends. I saved screenshots and call logs.,cyber
251,She keeps sending voice notes saying I will not be safe outside. It makes me feel unsafe and anxious.,threat
231,They repeatedly ring my doorbell late at night and run away before I open. I reported this once but it continued.,stalking
291,"During an argument, he threatened to attack me with a weapon. I saved screenshots and call logs.",threat
215,She waits outside my building every evening and follows me to the metro. I saved screenshots and call logs.,stalking
142,She keeps emailing me harassment from anonymous addresses after being blocked.,cyber
480,A friend declined my invitation because they were busy with family. It was a normal interaction.,non-harassment
137,She created fake accounts to post edited photos of me and mock me online. I saved screenshots and call logs.,cyber
458,I received a message confirming tomorrow's meeting agenda. We resolved it calmly.,non-harassment
463,"We had a disagreement in class, but we resolved it respectfully later. It did not feel threatening.",non-harassment
409,They blocked the doorway and shoved me repeatedly. I am worried it will happen again.,physical
280,They threatened to kidnap my sibling if I block them again. I saved screenshots and call logs.,threat
47,"On voice calls, she curses at me and threatens to ruin my reputation if I speak up. The behavior escalated recently.",verbal
160,He keeps emailing me harassment from anonymous addresses after being blocked. I have asked multiple times for this to stop.,cyber
379,"They threw an object at me, causing bruises on my shoulder. I have asked multiple times for this to stop.",physical
227,"After I ended contact, they keep showing up wherever I go, including my classes. I reported this once but it continued.",stalking
380,They slapped me after I refused to share my phone password.,physical
400,"She threw an object at me, causing bruises on my shoulder. I reported this once but it continued.",physical
213,She sits near my desk daily and watches me for hours without reason. Witnesses were present during the incident.,stalking
482,Customer support followed up to confirm my complaint was resolved. It was a normal interaction.,non-harassment
172,They created fake accounts to post edited photos of me and mock me online.,cyber
217,They repeatedly ring my doorbell late at night and run away before I open. Witnesses were present during the incident.,stalking
239,She sits near my desk daily and watches me for hours without reason. I have asked multiple times for this to stop.,stalking
456,My manager reminded everyone about deadlines in a neutral tone. There was no intimidation involved.,non-harassment
34,"During team meetings, they mock my accent and say I am useless in front of everyone. Witnesses were present during the incident.",verbal
219,They repeatedly ring my doorbell late at night and run away before I open. I have asked multiple times for this to stop.,stalking
247,She sits near my desk daily and watches me for hours without reason. I saved screenshots and call logs.,stalking
30,"They shout slurs at me every day at the market, making it hard to feel safe. I reported this once but it continued.",verbal
87,He touched my waist without permission and said I should take it as a compliment. The behavior escalated recently.,sexual
405,They pushed me against the wall during an argument at the office. I reported this once but it continued.,physical
177,He keeps emailing me harassment from anonymous addresses after being blocked.,cyber
135,She keeps emailing me harassment from anonymous addresses after being blocked. This has been happening for weeks.,cyber
51,"He shouts slurs at me every day on the bus, making it hard to feel safe. This has been happening for weeks.",verbal
434,"During commute, she punched me and ran before help arrived. This has been happening for weeks.",physical
418,A person kicked my chair and hit me in front of others. I reported this once but it continued.,physical
279,I was told my house would be vandalized if I testify. Witnesses were present during the incident.,threat
220,I noticed the same person trailing me from work to home for several days.,stalking
206,He sits near my desk daily and watches me for hours without reason.,stalking
96,I receive repeated messages describing sexual acts and demanding that I respond. This has been happening for weeks.,sexual
70,Someone in class brushed against me repeatedly and whispered sexual remarks.,sexual
398,She slapped me after I refused to share my phone password. It makes me feel unsafe and anxious.,physical
60,"During team meetings, she mocks my accent and says I am useless in front of everyone. I am worried it will happen again.",verbal
311,"When I complained, HR ignored it and my shift was changed to isolate me. I reported this once but it continued.",workplace
139,He posts humiliating comments under all my posts and tags my friends.,cyber
307,"During an argument, he threatened to attack me with a weapon. I have asked multiple times for this to stop.",threat
451,"We had a disagreement in class, but we resolved it respectfully later.",non-harassment
390,Someone grabbed my arm hard and would not let go when I tried to leave. The behavior escalated recently.,physical
283,He said he would hurt me if I report the incidents to anyone.,threat
65,A colleague sent me explicit jokes and asked for intimate photos during work hours.,sexual
422,They slapped me after I refused to share my phone password. Witnesses were present during the incident.,physical
464,I received a message confirming tomorrow's meeting agenda. It was a normal interaction.,non-harassment
467,My teammate gave constructive feedback on my report and helped me improve it. It ended without any conflict.,non-harassment
111,"At a party, he tried to kiss me forcefully after I refused multiple times. Witnesses were present during the incident.",sexual
440,My teammate gave constructive feedback on my report and helped me improve it. It was a normal interaction.,non-harassment
443,A friend declined my invitation because they were busy with family.,non-harassment
149,Private screenshots of my chat were leaked to shame me in a public forum. I have asked multiple times for this to stop.,cyber
226,They monitor my routine and appear at places I never shared with them. I saved screenshots and call logs.,stalking
254,He threatened to kidnap my sibling if I block him again. I have asked multiple times for this to stop.,threat
127,"I am being doxxed on social media, and people keep posting my location details. I saved screenshots and call logs.",cyber
76,She keeps making sexual comments about my body during internship even after I clearly said no.,sexual
61,"He shouts slurs at me every day in our apartment building, making it hard to feel safe. The behavior escalated recently.",verbal
73,Someone in class brushed against me repeatedly and whispered sexual remarks. I have asked multiple times for this to stop.,sexual
223,They monitor my routine and appear at places I never shared with them. I reported this once but it continued.,stalking
435,A stranger asked for directions and left after I answered. It ended without any conflict.,non-harassment
204,They monitor my routine and appear at places I never shared with them. This has been happening for weeks.,stalking
439,"We had a disagreement in class, but we resolved it respectfully later. We resolved it calmly.",non-harassment
402,He pushed me against the wall during an argument in the neighborhood. It makes me feel unsafe and anxious.,physical
93,They keep making sexual comments about my body at school even after I clearly said no. I saved screenshots and call logs.,sexual
394,He blocked the doorway and shoved me repeatedly. I reported this once but it continued.,physical
126,She posts humiliating comments under all my posts and tags my friends. Witnesses were present during the incident.,cyber
82,She keeps making sexual comments about my body on the bus even after I clearly said no. The behavior escalated recently.,sexual
109,A colleague sent me explicit jokes and asked for intimate photos during work hours. The behavior escalated recently.,sexual
252,They said they would hurt me if I report the incidents to anyone. The behavior escalated recently.,threat
188,He sits near my desk daily and watches me for hours without reason. I am worried it will happen again.,stalking
243,They repeatedly ring my doorbell late at night and run away before I open. The behavior escalated recently.,stalking
80,She touched my waist without permission and said I should take it as a compliment. I reported this once but it continued.,sexual
24,My classmate says humiliating jokes about my body and identity whenever we pass each other. It makes me feel unsafe and anxious.,verbal
97,Someone in class brushed against me repeatedly and whispered sexual remarks. I am worried it will happen again.,sexual
297,They threatened to kidnap my sibling if I block them again.,threat
270,"During an argument, she threatened to attack me with a weapon.",threat
155,Private screenshots of my chat were leaked to shame me in a public forum. I saved screenshots and call logs.,cyber
86,My supervisor keeps suggesting promotion in exchange for going out alone with me. Witnesses were present during the incident.,sexual
293,She warned that my photos would be leaked and my career destroyed if I refuse. Witnesses were present during the incident.,threat
92,A colleague sent me explicit jokes and asked for intimate photos during work hours. I am worried it will happen again.,sexual
161,Private screenshots of my chat were leaked to shame me in a public forum. It makes me feel unsafe and anxious.,cyber
3,He keeps yelling abusive language at home and blames me for everything. I saved screenshots and call logs.,verbal
476,My manager reminded everyone about deadlines in a neutral tone. It ended without any conflict.,non-harassment
94,She keeps making sexual comments about my body at the gym even after I clearly said no. This has been happening for weeks.,sexual
352,A coworker spreads rumors about me and pressures others not to collaborate with me. I am worried it will happen again.,workplace
321,A coworker spreads rumors about me and pressures others not to collaborate with me. The behavior escalated recently.,workplace
119,A colleague sent me explicit jokes and asked for intimate photos during work hours. I saved screenshots and call logs.,sexual
306,He keeps sending voice notes saying I will not be safe outside. I am worried it will happen again.,threat
448,A stranger asked for directions and left after I answered. We resolved it calmly.,non-harassment
209,Someone keeps waiting near my parking spot and follows my vehicle after office hours. I saved screenshots and call logs.,stalking
50,She keeps calling me insulting names on the bus and laughs when I ask her to stop.,verbal
67,He touched my waist without permission and said I should take it as a compliment.,sexual
199,I noticed the same person trailing me from work to home for several days. I saved screenshots and call logs.,stalking
77,He keeps making sexual comments about my body at school even after I clearly said no. I saved screenshots and call logs.,sexual
407,"They threw an object at me, causing bruises on my shoulder. I am worried it will happen again.",physical
389,She blocked the doorway and shoved me repeatedly.,physical
88,A colleague sent me explicit jokes and asked for intimate photos during work hours. This has been happening for weeks.,sexual
393,He blocked the doorway and shoved me repeatedly. It makes me feel unsafe and anxious.,physical
6,He keeps calling me insulting names in our apartment building and laughs when I ask him to stop. It makes me feel unsafe and anxious.,verbal
193,"My ex sends messages describing what I wore today, even though we no longer speak. I have asked multiple times for this to stop.",stalking
499,A stranger asked for directions and left after I answered. Everyone remained respectful.,non-harassment
372,She keeps interrupting me in meetings and says people like me do not belong here.,workplace
133,Private screenshots of my chat were leaked to shame me in a public forum.,cyber
336,My manager keeps excluding me from projects after I rejected personal advances.,workplace
373,They pushed me against the wall during an argument in the neighborhood. I saved screenshots and call logs.,physical
74,She touched my waist without permission and said I should take it as a compliment. Witnesses were present during the incident.,sexual
477,I received a message confirming tomorrow's meeting agenda. It ended without any conflict.,non-harassment
470,My neighbor greeted me politely and asked about community cleanup plans. Everyone remained respectful.,non-harassment
319,They keep interrupting me in meetings and say people like me do not belong here. This has been happening for weeks.,workplace
38,She keeps calling me insulting names at school and laughs when I ask her to stop.,verbal
281,He warned that my photos would be leaked and my career destroyed if I refuse. Witnesses were present during the incident.,threat
179,They keep emailing me harassment from anonymous addresses after being blocked. I reported this once but it continued.,cyber
39,My classmate says humiliating jokes about my body and identity whenever we pass each other. I reported this once but it continued.,verbal
36,My classmate says humiliating jokes about my body and identity whenever we pass each other. I saved screenshots and call logs.,verbal
95,I receive repeated messages describing sexual acts and demanding that I respond.,sexual
168,He created fake accounts to post edited photos of me and mock me online. I am worried it will happen again.,cyber
255,"During an argument, they threatened to attack me with a weapon. This has been happening for weeks.",threat
189,They monitor my routine and appear at places I never shared with them. I have asked multiple times for this to stop.,stalking
171,They created fake accounts to post edited photos of me and mock me online. This has been happening for weeks.,cyber
343,I was denied leave after reporting inappropriate behavior by a teammate. It makes me feel unsafe and anxious.,workplace
91,They keep making sexual comments about my body on the bus even after I clearly said no.,sexual
134,"Someone shared my phone number in a group, and strangers now send threatening texts. This has been happening for weeks.",cyber
269,She keeps sending voice notes saying I will not be safe outside. I am worried it will happen again.,threat
369,He repeatedly comments on my appearance and links it to my appraisal. I have asked multiple times for this to stop.,workplace
325,A senior employee shouts at me publicly and calls me incompetent every week.,workplace
465,I received a message confirming tomorrow's meeting agenda. Everyone remained respectful.,non-harassment
32,A coworker imitates my speech to embarrass me and everyone joins in. It makes me feel unsafe and anxious.,verbal
264,I got messages saying my family will be harmed unless I stay silent. I have asked multiple times for this to stop.,threat
246,He monitors my routine and appears at places I never shared with him. It makes me feel unsafe and anxious.,stalking
130,She created fake accounts to post edited photos of me and mock me online. I am worried it will happen again.,cyber
413,Someone grabbed my arm hard and would not let go when I tried to leave.,physical
278,I got messages saying my family will be harmed unless I stay silent. I reported this once but it continued.,threat
256,He threatened to kidnap my sibling if I block him again. It makes me feel unsafe and anxious.,threat
355,She repeatedly comments on my appearance and links it to my appraisal. I saved screenshots and call logs.,workplace
208,They wait outside my building every evening and follow me to the metro. I reported this once but it continued.,stalking
340,"When I complained, HR ignored it and my shift was changed to isolate me.",workplace
399,"During commute, he punched me and ran before help arrived. I have asked multiple times for this to stop.",physical
75,My supervisor keeps suggesting promotion in exchange for going out alone with me. It makes me feel unsafe and anxious.,sexual
444,Customer support followed up to confirm my complaint was resolved.,non-harassment
241,She waits outside my building every evening and follows me to the metro. It makes me feel unsafe and anxious.,stalking
20,"On voice calls, he curses at me and threatens to ruin my reputation if I speak up. This has been happening for weeks.",verbal
386,A person kicked my chair and hit me in front of others. This has been happening for weeks.,physical
153,She posts humiliating comments under all my posts and tags my friends. It makes me feel unsafe and anxious.,cyber
144,She created fake accounts to post edited photos of me and mock me online. This has been happening for weeks.,cyber
360,They repeatedly comment on my appearance and link it to my appraisal.,workplace
22,A coworker imitates my speech to embarrass me and everyone joins in. Witnesses were present during the incident.,verbal
424,"She threw an object at me, causing bruises on my shoulder. It makes me feel unsafe and anxious.",physical
8,"During team meetings, they mock my accent and say I am useless in front of everyone. I saved screenshots and call logs.",verbal
19,They repeatedly taunt me with demeaning comments and tell others not to talk to me. I reported this once but it continued.,verbal
194,They wait outside my building every evening and follow me to the metro. The behavior escalated recently.,stalking
328,I was denied leave after reporting inappropriate behavior by a teammate.,workplace
131,I keep getting abusive DMs from the same person across different apps every night.,cyber
28,"During team meetings, she mocks my accent and says I am useless in front of everyone. I have asked multiple times for this to stop.",verbal
282,I was told my house would be vandalized if I testify.,threat
132,He posts humiliating comments under all my posts and tags my friends. I am worried it will happen again.,cyber
158,He created fake accounts to post edited photos of me and mock me online. I saved screenshots and call logs.,cyber
42,"During team meetings, she mocks my accent and says I am useless in front of everyone.",verbal
324,A senior employee shouts at me publicly and calls me incompetent every week. I saved screenshots and call logs.,workplace
385,He pushed me against the wall during an argument at the gym. I saved screenshots and call logs.,physical
48,"On voice calls, he curses at me and threatens to ruin my reputation if I speak up.",verbal
471,My neighbor greeted me politely and asked about community cleanup plans. There was no intimidation involved.,non-harassment
27,She keeps calling me insulting names at the market and laughs when I ask her to stop. I saved screenshots and call logs.,verbal
472,Customer support followed up to confirm my complaint was resolved. The conversation stayed professional.,non-harassment
401,"During commute, he punched me and ran before help arrived. This has been happening for weeks.",physical
384,"During commute, they punched me and ran before help arrived.",physical
475,My neighbor greeted me politely and asked about community cleanup plans. It ended without any conflict.,non-harassment
288,He keeps sending voice notes saying I will not be safe outside.,threat
459,My manager reminded everyone about deadlines in a neutral tone.,non-harassment
262,I got messages saying my family will be harmed unless I stay silent. I saved screenshots and call logs.,threat
469,My neighbor greeted me politely and asked about community cleanup plans. It was a normal interaction.,non-harassment
378,They slapped me after I refused to share my phone password. I am worried it will happen again.,physical
326,A senior employee shouts at me publicly and calls me incompetent every week. I reported this once but it continued.,workplace
334,She keeps interrupting me in meetings and says people like me do not belong here. Witnesses were present during the incident.,workplace
228,Someone keeps waiting near my parking spot and follows my vehicle after office hours. The behavior escalated recently.,stalking
277,A person from my neighborhood said they will beat me up for filing a complaint. The behavior escalated recently.,threat
211,They repeatedly ring my doorbell late at night and run away before I open. This has been happening for weeks.,stalking
230,"After I ended contact, she keeps showing up wherever I go, including my classes. I saved screenshots and call logs.",stalking
13,She repeatedly taunts me with demeaning comments and tells others not to talk to me. This has been happening for weeks.,verbal
120,My supervisor keeps suggesting promotion in exchange for going out alone with me. I saved screenshots and call logs.,sexual
198,"My ex sends messages describing what I wore today, even though we no longer speak. I saved screenshots and call logs.",stalking
1,She keeps yelling abusive language at home and blames me for everything. This has been happening for weeks.,verbal
250,She threatened to kidnap my sibling if I block her again.,threat
25,She keeps calling me insulting names at the gym and laughs when I ask her to stop. I reported this once but it continued.,verbal
428,Someone grabbed my arm hard and would not let go when I tried to leave. I reported this once but it continued.,physical
10,"On voice calls, she curses at me and threatens to ruin my reputation if I speak up. I am worried it will happen again.",verbal
397,I was physically restrained and dragged back when I attempted to walk away. It makes me feel unsafe and anxious.,physical
201,He sits near my desk daily and watches me for hours without reason. The behavior escalated recently.,stalking
190,He waits outside my building every evening and follows me to the metro. I saved screenshots and call logs.,stalking
299,He warned that my photos would be leaked and my career destroyed if I refuse. It makes me feel unsafe and anxious.,threat
349,I was denied leave after reporting inappropriate behavior by a teammate. Witnesses were present during the incident.,workplace
368,I am assigned humiliating tasks not given to peers and mocked in review meetings. I saved screenshots and call logs.,workplace
202,They repeatedly ring my doorbell late at night and run away before I open.,stalking
346,She repeatedly comments on my appearance and links it to my appraisal.,workplace
339,I am assigned humiliating tasks not given to peers and mocked in review meetings. I reported this once but it continued.,workplace
425,They blocked the doorway and shoved me repeatedly. The behavior escalated recently.,physical
59,"He shouts slurs at me every day during internship, making it hard to feel safe. It makes me feel unsafe and anxious.",verbal
376,"They threw an object at me, causing bruises on my shoulder.",physical
253,I was told my house would be vandalized if I testify. I have asked multiple times for this to stop.,threat
180,They keep emailing me harassment from anonymous addresses after being blocked. This has been happening for weeks.,cyber
412,"They threw an object at me, causing bruises on my shoulder. I saved screenshots and call logs.",physical
356,She repeatedly comments on my appearance and links it to my appraisal. It makes me feel unsafe and anxious.,workplace
154,"Someone shared my phone number in a group, and strangers now send threatening texts. I saved screenshots and call logs.",cyber
128,She created fake accounts to post edited photos of me and mock me online.,cyber
417,She pushed me against the wall during an argument at school. I saved screenshots and call logs.,physical
267,She threatened to kidnap my sibling if I block her again. Witnesses were present during the incident.,threat
156,I keep getting abusive DMs from the same person across different apps every night. I have asked multiple times for this to stop.,cyber
490,A friend declined my invitation because they were busy with family. The conversation stayed professional.,non-harassment
178,A former friend hacked into my profile and changed my bio to insulting words.,cyber
232,Someone keeps waiting near my parking spot and follows my vehicle after office hours. I am worried it will happen again.,stalking
416,He pushed me against the wall during an argument during internship. I have asked multiple times for this to stop.,physical
184,He posts humiliating comments under all my posts and tags my friends. Witnesses were present during the incident.,cyber
62,My classmate says humiliating jokes about my body and identity whenever we pass each other. This has been happening for weeks.,verbal
183,He created fake accounts to post edited photos of me and mock me online. Witnesses were present during the incident.,cyber
447,My neighbor greeted me politely and asked about community cleanup plans.,non-harassment
301,She keeps sending voice notes saying I will not be safe outside.,threat
427,She pushed me against the wall during an argument in our apartment building. I have asked multiple times for this to stop.,physical
103,He keeps asking detailed sexual questions and ignores my boundaries.,sexual
44,"They shout slurs at me every day on the bus, making it hard to feel safe.",verbal
492,I received a message confirming tomorrow's meeting agenda. There was no intimidation involved.,non-harassment
358,She repeatedly comments on my appearance and links it to my appraisal. Witnesses were present during the incident.,workplace
14,"He shouts slurs at me every day at the market, making it hard to feel safe.",verbal
483,"We had a disagreement in class, but we resolved it respectfully later. No one used abusive language.",non-harassment
186,"I am being doxxed on social media, and people keep posting my location details. It makes me feel unsafe and anxious.",cyber
146,"Someone shared my phone number in a group, and strangers now send threatening texts. Witnesses were present during the incident.",cyber
466,A friend declined my invitation because they were busy with family. Everyone remained respectful.,non-harassment
274,They warned that my photos would be leaked and my career destroyed if I refuse. The behavior escalated recently.,threat
486,My teammate gave constructive feedback on my report and helped me improve it. No one used abusive language.,non-harassment
234,She monitors my routine and appears at places I never shared with her. This has been happening for weeks.,stalking
181,"Someone shared my phone number in a group, and strangers now send threatening texts. I have asked multiple times for this to stop.",cyber
308,A person from my neighborhood said they will beat me up for filing a complaint. This has been happening for weeks.,threat
163,He created fake accounts to post edited photos of me and mock me online. The behavior escalated recently.,cyber
236,Someone keeps waiting near my parking spot and follows my vehicle after office hours. Witnesses were present during the incident.,stalking
150,"Someone shared my phone number in a group, and strangers now send threatening texts.",cyber
147,They post humiliating comments under all my posts and tag my friends. I reported this once but it continued.,cyber
117,She keeps making sexual comments about my body at the gym even after I clearly said no. The behavior escalated recently.,sexual
113,"At a party, she tried to kiss me forcefully after I refused multiple times. I saved screenshots and call logs.",sexual
52,My classmate says humiliating jokes about my body and identity whenever we pass each other. I have asked multiple times for this to stop.,verbal
304,I was told my house would be vandalized if I testify. It makes me feel unsafe and anxious.,threat
